SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401020275,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,SHAFI MUHAMMAD JATOI,Functional,Primary,Mixed,68.5341,24.6793
401020277,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,MUHAMMAD UMER SHAHANI,Functional,Primary,Boys,68.56581,24.635172
401020279,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,MUHAMMAD QASIM MALLAH,Functional,Primary,Boys,68.5275,24.6003
401020287,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,AHMED MEMON,Functional,Primary,Mixed,68.5202,24.6458
401020288,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,SHAFI MUHAMMAD ARAIN,Functional,Primary,Mixed,68.5083,24.6033
401020326,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,CHAK NO. 1,Functional,Primary,Mixed,68.5258,24.6197
401020327,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,NEW BANGALI,Functional,Primary,Mixed,68.5366,24.6054
401020332,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,CHAK NO. 2 @ BHALE DINO MALAH,Functional,Primary,Mixed,68.5267,24.5983
401020334,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,CHAK NO. 35,Functional,Primary,Mixed,68.5792,24.5947
401020335,Hyderabad,Badin,Golarchi-S.F.Rao,2-Shaheed Fazil Rahu,GBPS,HAJI LAKHA DINO KHOSO,Closed Temporary,Primary,Boys,68.4683,24.6431
401020231,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,SHER MUHAMMAD BUBAR,Functional,Primary,Boys,68.5472,24.7803
401020232,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,MULLAN HASSAN,Functional,Primary,Mixed,68.4993,24.7476
401020233,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,BIJARI SHARIF,Functional,Primary,Boys,68.4616,24.7484
401020235,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,Noor Muhammad Marri,Functional,Primary,Mixed,68.7186,24.725
401020263,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,Muhammad Rahim Mallah,Functional,Primary,Mixed,68.5042,24.7581
401020265,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,MUHAMMAD ALAM UMRAN @ M.USMAN JAT,Functional,Primary,Mixed,68.4542,24.8311
401020269,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,LAKHA DINO CHANG @ KHAN MUHAMMAD NA,Functional,Primary,Mixed,68.4717,24.6753
401020276,Hyderabad,Badin,Golarchi-S.F.Rao,Khorwah,GBPS,ISMAIL CHANG,Functional,Primary,Mixed,68.4347,24.7856
401020278,Hyderabad,Badin,Golarchi-S.F.Rao,Dadhako,GBPS,ALLAH DINO NOTKANI,Functional,Primary,Mixed,68.5326,24.7359
401020280,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,DHANI BUX KHASKHILI,Functional,Primary,Boys,68.5022,24.695
401020281,Hyderabad,Badin,Golarchi-S.F.Rao,Khorwah,GBPS,HAJI MIR MUHAMMAD BAKAR,Closed Temporary,Primary,Boys,68.4198,24.7715
401020282,Hyderabad,Badin,Golarchi-S.F.Rao,Khorwah,GBPS,MUHAMMAD NIDHOO,Functional,Primary,Mixed,68.4256,24.7732
401020301,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI CHAKAR MAHERI,Functional,Primary,Mixed,68.5277,24.8089
401020302,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,Piranoo Samoon,Functional,Primary,Mixed,68.5003,24.8044
401020303,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,HAJI PIROO MALLAH,Functional,Primary,Mixed,68.4787,24.8146
401020304,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GBPS,MUHAMMAD UMER WADHO,Functional,Primary,Mixed,68.5183,24.7856
